"Title","Sex","Age_Class","Year"
"1","Male","Adult",1996
"10","Male","Adult",1996
"1000","FemaleJ","Adult",1996
"1007",NA,"Adult",1996
"1009",NA,"Adult",1996
"1016",NA,"Adult",1996
"1019","FemaleJ","Adult",1996
"102","Male","Adult",1996
"1020","FemaleJ","Adult",1996
"1022","FemaleJ","Adult",1996
"1023",NA,"Calf",1996
"1025","FemaleJ","Adult",1996
"1030",NA,"Adult",1996
"1032",NA,"Adult",1996
"1040","FemaleJ","Adult",1996
"1042",NA,"Adult",1996
"1043",NA,"Juvenile",1996
"1045","FemaleJ","Adult",1996
"1046","FemaleJ","Adult",1996
"1047",NA,"Adult",1996
"1054",NA,"Adult",1996
"1057",NA,"Adult",1996
"1058","FemaleJ","Adult",1996
"1059",NA,"Adult",1996
"1062","FemaleJ","Adult",1996
"1063",NA,"Adult",1996
"1066",NA,"Adult",1996
"1068",NA,"Adult",1996
"1069",NA,"Adult",1996
"1072","FemaleJ","Adult",1996
"1081",NA,"Adult",1996
"1093",NA,"Juvenile",1996
"1094","FemaleJ","Adult",1996
"1097",NA,"Adult",1996
"1100",NA,"Adult",1996
"1109",NA,"Adult",1996
"1110",NA,"Adult",1996
"1114","Male","Adult",1996
"1116",NA,"Adult",1996
"1121",NA,"Adult",1996
"1123","Male","Adult",1996
"1124",NA,"Adult",1996
"1126","FemaleJ","Adult",1996
"1130",NA,"Adult",1996
"1134","Male","Adult",1996
"1136",NA,"Juvenile",1996
"1140",NA,"Adult",1996
"1142",NA,"Adult",1996
"1147","FemaleJ","Adult",1996
"1148",NA,"Adult",1996
"1152",NA,"Adult",1996
"1153",NA,"Adult",1996
"1155","FemaleJ","Adult",1996
"1158",NA,"Adult",1996
"1160",NA,"Adult",1996
"1163","FemaleJ","Juvenile",1996
"1168",NA,"Adult",1996
"1173","Male","Adult",1996
"1174","FemaleJ","Adult",1996
"1176",NA,"Adult",1996
"1179","Male","Adult",1996
"1183",NA,"Adult",1996
"1185",NA,"Adult",1996
"1190",NA,"Adult",1996
"120","Male","Adult",1996
"124","Male","Adult",1996
"1335",NA,"Adult",1996
"159","FemaleJ","Adult",1996
"17","FemaleJ","Adult",1996
"18","Male","Adult",1996
"183",NA,"Adult",1996
"251","FemaleJ","Adult",1996
"28","Male","Adult",1996
"303","FemaleJ","Adult",1996
"317",NA,"Adult",1996
"33","Male","Adult",1996
"363",NA,"Adult",1996
"37","Male","Adult",1996
"407","FemaleJ","Adult",1996
"409","FemaleJ","Adult",1996
"413","Male","Adult",1996
"418","FemaleJ","Adult",1996
"427",NA,"Adult",1996
"45","Male","Adult",1996
"466",NA,"Adult",1996
"480","Male","Adult",1996
"507","FemaleJ","Adult",1996
"531","FemaleJ","Adult",1996
"54","FemaleJ","Adult",1996
"549","Male","Adult",1996
"57",NA,"Adult",1996
"617","FemaleJ","Adult",1996
"624","FemaleJ","Adult",1996
"633","FemaleJ","Adult",1996
"649","FemaleJ","Adult",1996
"653","FemaleJ","Adult",1996
"677","FemaleJ","Adult",1996
"702","FemaleJ","Adult",1996
"76","Male","Adult",1996
"804","Male","Adult",1996
"824","Male","Adult",1996
"89","FemaleJ","Adult",1996
"905","Male","Adult",1996
"907",NA,"Adult",1996
"909",NA,"Adult",1996
"91",NA,"Adult",1996
"92","Male","Adult",1996
"950","FemaleJ","Adult",1996
"952","FemaleJ","Adult",1996
"9901","FemaleJ","Adult",1996
"9903",NA,"Adult",1996
"9907","Male","Adult",1996
"9911","Male","Adult",1996
"9920",NA,"Adult",1996
"9921",NA,"Adult",1996
"1","Male","Adult",1997
"1000","FemaleJ","Adult",1997
"102","Male","Adult",1997
"1020","FemaleJ","Adult",1997
"1022","FemaleJ","Adult",1997
"1042",NA,"Adult",1997
"1046","FemaleJ","Adult",1997
"1063",NA,"Adult",1997
"1069",NA,"Adult",1997
"1094","FemaleJ","Adult",1997
"1114","Male","Adult",1997
"1146",NA,"Adult",1997
"1147","FemaleJ","Adult",1997
"120","Male","Adult",1997
"1205",NA,"Adult",1997
